id,institute_id,task_id
1,1,1
7,2,1
19,5,1
26,6,1
12,3,2
20,5,3
25,3,3
27,6,3
2,1,4
8,2,4
14,4,4
32,7,4
3,1,5
13,3,5
15,4,5
4,1,6
9,2,6
16,4,6
21,5,6
5,1,7
10,2,7
17,4,7
22,5,7
6,1,9
18,4,9
23,5,9
24,5,11
36,1,11
30,1,12
37,1,13
38,1,14
39,1,15
40,1,16
41,1,17
47,2,13
48,2,14
49,2,15
50,2,16
51,2,18
52,2,22
53,2,24
54,2,25
55,2,26
29,2,11
56,2,12
57,1,10
42,1,22
58,3,16
59,3,17
60,3,18
61,3,19
62,3,21
63,3,22
64,3,23
65,3,24
66,3,26
67,3,27
68,3,28
69,4,12
70,4,13
71,4,17
72,4,18
73,5,15
74,5,16
75,5,17
76,5,18
77,5,20
78,5,21
79,5,24
80,5,25
31,5,13
28,6,10
33,7,12
34,7,14
35,7,15
81,8,8
82,8,10
83,8,27
